Player,year,length,avg_salary,cap,poc,Pos,Age,Tm,G,FG,FGA,FG.,X3P,X3PA,X3P.,FT,FTA,FT.,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,TS.,X3PAr,FTr,USG.,OWS,DWS,OBPM,DBPM
Zaza Pachulia,2017,1,3500000,99093000,0.0353203556255235,C,32,GSW,70,2.3,4.4,0.534,0,0,0,1.4,1.8,0.778,2,3.9,5.9,1.9,0.8,0.5,1.2,6.1,0.588,0.007,0.41,15.3,2.3,2.5,-1.1,1.6
Kentavious Caldwell-Pope,2017,1,18000000,99093000,0.18164754321697799,SG,23,DET,76,4.9,12.2,0.399,2,5.8,0.35,2,2.4,0.832,0.7,2.5,3.3,2.5,1.2,0.2,1.1,13.8,0.519,0.471,0.199,19.2,2,2.5,-0.6,0.4
Andre Roberson,2017,3,10000000,99093000,0.10091530178720999,SF,25,OKC,79,2.7,5.9,0.464,0.6,2.3,0.245,0.6,1.4,0.423,1.2,3.9,5.1,1,1.2,1,0.6,6.6,0.51,0.397,0.24,10.1,1.1,3.1,-2.5,1.4
Nenê Hilário,2017,3,3666666.6666666665,99093000,0.037002277321976994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ersan İlyasova,2017,1,6000000,99093000,0.060549181072326,PF,29,TOT,82,4.7,10.9,0.431,1.7,4.9,0.353,2,2.5,0.778,1.4,4.5,5.9,1.7,0.7,0.3,1.4,13.1,0.546,0.452,0.233,22.2,1.8,2.3,0.4,-0.3
Kelly Olynyk,2017,4,12500000,99093000,0.1261441272340125,C,25,BOS,75,3.5,6.8,0.512,0.9,2.6,0.354,1.2,1.6,0.732,1,3.8,4.8,2,0.6,0.4,1.3,9,0.603,0.378,0.242,19,2.2,1.9,-0.3,0.6
Vince Carter,2017,1,8000000,99093000,0.080732241429768,SF,40,MEM,73,2.6,6.7,0.394,1.5,4.1,0.378,1.2,1.6,0.765,0.5,2.6,3.1,1.8,0.8,0.5,0.7,8,0.542,0.604,0.235,14.9,1.9,2.1,-0.3,1.1
Taj Gibson,2017,2,14000000,99093000,0.141281422502094,PF,31,TOT,78,4.7,9.1,0.515,0,0.2,0.231,1.4,2,0.715,2,4.2,6.2,0.9,0.5,0.8,1.3,10.8,0.543,0.018,0.223,19.3,1.6,2.5,-1.1,-0.4
C.J. Miles,2017,3,8333333.333333334,99093000,0.084096084822675,SF,29,IND,76,3.7,8.5,0.434,2.2,5.4,0.413,1.1,1.2,0.903,0.4,2.6,3,0.6,0.6,0.3,0.5,10.7,0.592,0.632,0.144,18.4,2.7,1.4,1.2,-0.7
Darren Collison,2017,2,10000000,99093000,0.10091530178720999,PG,29,SAC,68,5,10.5,0.476,1.1,2.6,0.417,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1,0.1,1.7,13.2,0.57,0.245,0.239,19.8,3.1,0.8,0.3,-1.2
